config_id,acetylation_level,unloading_rate,loading_constant,rg_mean,rg_stddev,msd_alpha,msd_beta
0,0.465,0.32802640616790646,0.0069365442590166495,6.91170597076416,6.91170597076416,0.578760745333215,1.9931043720735404
100,0.0825,0.07509135191305791,0.007226711249831735,4.888049125671387,4.888049125671387,0.5553169262758832,1.556484006318759
104,0.975,0.4810703604504222,0.0022217842251337095,11.338461875915527,11.338461875915527,0.5902847595402358,2.4298213986043518
101,0.0175,0.3814705899892082,0.0011962481181474207,4.715358257293701,4.715358257293701,0.5497173642577216,1.4925470376781635
105,0.2825,0.05551099291493957,0.01646262943665471,5.478471279144287,5.478471279144287,0.5701441291614773,1.7600600489254161
103,0.055,0.32165637198789243,0.026669035833752543,4.888200283050537,4.888200283050537,0.5660747483686168,1.5633342554297995
102,0.0275,0.29291509999517296,0.011746946611467406,4.726928234100342,4.726928234100342,0.5592293819385928,1.5214012483225514
106,0.0175,0.14264775490815373,0.07002261688988587,5.783831596374512,5.783831596374512,0.5789283846508232,1.6158357952938684
10,0.2725,0.018624350366192893,0.030828722006020964,7.978006839752197,7.978006839752197,0.581667503435136,1.8431216095269893
107,0.0175,0.09160536103779458,0.03326810196849368,5.3130879402160645,5.3130879402160645,0.5741629783260034,1.5542287450993688
108,0.06,0.013968520723341413,0.03177986810291624,5.32323694229126,5.32323694229126,0.572371339955958,1.602980891196313
109,0.1175,0.023001460079381024,0.004469961210661402,5.003478527069092,5.003478527069092,0.5588766911453782,1.5985405297730482
110,0.035,0.20839390592072457,0.014751772624830973,4.733326435089111,4.733326435089111,0.5652421036784966,1.5323932857630014
111,0.025,0.5046862744146474,0.004275494342463202,4.783597946166992,4.783597946166992,0.5521261496482897,1.5168842469537827
112,0.095,0.10329378549659576,0.072089584747907,5.52996826171875,5.52996826171875,0.5699532823961257,1.6560701190692841
113,0.0075,0.05692282463017228,0.08273183587604514,4.952633857727051,4.952633857727051,0.5710607466366371,1.5709889960012404
114,0.02,0.07317870486672352,0.020482778779530912,4.7736406326293945,4.7736406326293945,0.5624153711844148,1.517074194396499
116,0.275,0.39638997010772276,0.006135962039299729,5.678229808807373,5.678229808807373,0.5650451556270173,1.7843402560066566
115,0.0,0.5166414674446439,0.02693346489077389,4.869630813598633,4.869630813598633,0.5653376793318011,1.5220235975452865
120,0.06,0.09808340344208553,0.01973559316540891,5.302436351776123,5.302436351776123,0.5704986728330824,1.5786761655719939
117,0.0325,0.04417470550190675,0.030738959852761392,4.815711975097656,4.815711975097656,0.5689432849093753,1.538148407657288
118,0.0825,0.05584404662082024,0.002275351018300995,5.021643161773682,5.021643161773682,0.5517194767994482,1.5758907836346268
119,0.0375,0.1441227419934122,0.0015659623778283204,4.928901195526123,4.928901195526123,0.5528391272204692,1.5248401463829506
11,0.015,0.08152358174549941,0.017986372423672965,5.0744476318359375,5.0744476318359375,0.5645840696200094,1.531597457772647
122,0.035,0.06191682502789436,0.012050225004939234,4.93158483505249,4.93158483505249,0.5650388229152856,1.541907104528646
121,0.225,0.23660709794782273,0.003680788147931493,5.696105480194092,5.696105480194092,0.5670459881180219,1.7341741479538502
123,0.0325,0.012149325215750045,0.04481478256713781,5.130290508270264,5.130290508270264,0.5713017439027571,1.5940198857930874
124,0.1225,0.40026137705013193,0.001982777446891139,5.132140159606934,5.132140159606934,0.5547426458840742,1.6081911778264342
127,0.2075,0.6383594597614392,0.0206389688233682,5.72159481048584,5.72159481048584,0.5716849854609426,1.719095075713029
126,0.17,0.09582541404885768,0.05465512472939233,5.93983268737793,5.93983268737793,0.5724662097625078,1.7230194432428716
125,0.3175,0.37003233857661993,0.0025034332082724403,6.9893412590026855,6.9893412590026855,0.5672922047495073,1.882150197664076
128,0.67,0.053920196760931044,0.001442384997374196,11.303540229797363,11.303540229797363,0.5844819450896143,2.253353178783234
129,0.06,0.024480570989220785,0.0036451039070843233,4.776955604553223,4.776955604553223,0.5514538418283919,1.5317410494034376
12,0.02,0.021894065957085162,0.022067774282522393,4.937725067138672,4.937725067138672,0.5696517984936476,1.5435843936269888
130,0.09,0.01631810353168751,0.008194533662042106,4.957364559173584,4.957364559173584,0.5629869528755613,1.5721930045764982
131,0.005,0.11364860428944999,0.006813028271087468,4.625394344329834,4.625394344329834,0.5578303392016152,1.4894367073301862
133,0.03,0.8324304348643133,0.009744630620507556,4.744756698608398,4.744756698608398,0.5586627880670415,1.5187483960828074
134,0.035,0.01284028928855399,0.004462706927778686,4.7029829025268555,4.7029829025268555,0.5528158643961517,1.506572092830621
132,0.02,0.5048798496465228,0.006984974074689394,4.961461544036865,4.961461544036865,0.5583578775727709,1.5249367028157517
135,0.0925,0.017481729137565336,0.0010372762973432108,4.815134525299072,4.815134525299072,0.5478152923560282,1.5666205527684385
136,0.105,0.012578457352686562,0.002261101704042225,5.14024543762207,5.14024543762207,0.5573564094853145,1.589434758438599
137,0.035,0.042920663082477,0.01692760391689658,4.852092742919922,4.852092742919922,0.5607625181788383,1.5274680561995693
138,0.0275,0.7364664677102729,0.02015533034505935,4.805504322052002,4.805504322052002,0.5604302844130463,1.535188754325133
139,0.055,0.034008162926315116,0.0026426593805971487,4.8447651863098145,4.8447651863098145,0.5579239754543931,1.5415090338819102
13,0.375,0.07529012765105901,0.008260926218144287,6.4434099197387695,6.4434099197387695,0.5769406732440531,1.8637078456583396
140,0.01,0.35231530209697137,0.04361792070077485,4.801639080047607,4.801639080047607,0.5691265616798643,1.5431356960229952
141,0.03,0.12306220523630106,0.00550565052888123,4.733970642089844,4.733970642089844,0.5564144557931016,1.5055320885567665
142,0.5625,0.1353872626870785,0.00740891372006038,7.521080017089844,7.521080017089844,0.5789749371607864,2.072118736061751
145,0.1375,0.06428319305277012,0.0034366529422906636,5.231109142303467,5.231109142303467,0.5605737764219508,1.641196871312226
143,0.0975,0.23719825380928336,0.00302127317408444,4.939563751220703,4.939563751220703,0.552218581753479,1.5746101616788373
144,0.045,0.011721948308769953,0.045648676600326926,5.43568754196167,5.43568754196167,0.5718996768443831,1.618131067513562
146,0.475,0.026666965423740054,0.00143184618271989,9.202835083007812,9.202835083007812,0.5813359435608846,2.044366248854105
147,0.1025,0.05135676015117277,0.008738926911122874,4.985257625579834,4.985257625579834,0.5585392704228298,1.5787885147243208
148,0.1075,0.05150132949532606,0.002455391691935146,4.988105297088623,4.988105297088623,0.5576024602468764,1.5928320667904619
149,0.0375,0.013385900187978202,0.018259090286651347,4.745761871337891,4.745761871337891,0.5603510768271719,1.5234052225276813
14,0.535,0.012951914075835028,0.0014312384937382515,9.690751075744629,9.690751075744629,0.5826626693139361,2.1200668384542163
150,0.01,0.03014909896691787,0.018013719403892473,4.767287731170654,4.767287731170654,0.5636878247289919,1.5100301467491806
152,0.0675,0.3064316295482417,0.03761503885592628,5.603813648223877,5.603813648223877,0.5721163315334169,1.608778071723065
151,0.0325,0.13352823299149846,0.003969211225283346,4.964298725128174,4.964298725128174,0.55874612226726,1.5342288887680853
153,0.0375,0.05385692760909573,0.013151315924506158,4.961994171142578,4.961994171142578,0.5647744608316814,1.5380436486127722
155,0.01,0.016696746953834562,0.015340833072189202,4.858023643493652,4.858023643493652,0.5695885751837678,1.5504738189256775
154,0.6175,0.017243745736548573,0.004756842289455509,8.696303367614746,8.696303367614746,0.5799723159460862,2.1683776165151643
156,0.035,0.04146031673481843,0.03664468840534827,4.91074275970459,4.91074275970459,0.5695281807874002,1.5711877119325461
157,0.01,0.1374986007796547,0.03440415542268629,4.8500657081604,4.8500657081604,0.5634028040667579,1.5293932966670876
158,0.21,0.048522928694785916,0.09087847116012113,6.584243297576904,6.584243297576904,0.5737592613451867,1.7924327284269739
159,0.4275,0.02224932933884189,0.0013199864617259327,13.627333641052246,13.627333641052246,0.5832903348404465,2.0417117216401945
15,0.3775,0.7373995975595375,0.006643260543765654,8.626009941101074,8.626009941101074,0.5779890811600045,1.9408273294998852
160,0.0525,0.04455910393254638,0.008214210792219925,4.893429279327393,4.893429279327393,0.5599993245364322,1.5364373147298025
161,0.1,0.012189513047720327,0.06229365925115052,5.398072719573975,5.398072719573975,0.5681864362798414,1.6833674626755786
162,0.1025,0.015190615729091854,0.008014410125210694,5.302982330322266,5.302982330322266,0.5608776524960244,1.6021548780438422
163,0.3425,0.05680922271624783,0.002582179113996183,6.054013729095459,6.054013729095459,0.5670199360541999,1.8643184225338167
164,0.7025,0.7740722616823023,0.019327881465639612,11.587065696716309,11.587065696716309,0.5890754931974416,2.2182734851379777
165,0.035,0.8226710114970598,0.010887374471099017,4.833125591278076,4.833125591278076,0.5626939367496561,1.522762971359138
167,0.0575,0.046225732082435314,0.019100990987493276,5.091424465179443,5.091424465179443,0.5638238483229285,1.5622770956354521
169,0.555,0.042970962420055964,0.0679504459471101,7.13994836807251,7.13994836807251,0.5735745527330102,2.0332677870922673
166,0.8125,0.08013799662741275,0.02868243726166185,8.405204772949219,8.405204772949219,0.5876728370474469,2.2451976753372973
168,0.01,0.14720301968870383,0.011636872170082437,4.759103775024414,4.759103775024414,0.5604983994543896,1.5061167943748281
16,0.0675,0.5395400506498261,0.06103341701915112,5.584296226501465,5.584296226501465,0.5721855027155338,1.647007826357185
170,0.115,0.012182633748413572,0.016043057477862208,5.61669397354126,5.61669397354126,0.570688240789613,1.6316754957755464
171,0.0925,0.4862866641952733,0.04587759825339527,5.121644973754883,5.121644973754883,0.5688664534035808,1.621850128797873
172,0.1,0.1166449578474954,0.008390148068153094,5.067127704620361,5.067127704620361,0.5580138199760324,1.5831041603703322
173,0.6275,0.028990218565104642,0.0029068220551628707,9.889630317687988,9.889630317687988,0.5849906868894343,2.175752999226361
174,0.155,0.23354139215493708,0.0038803678323212245,5.118237495422363,5.118237495422363,0.5578013303338005,1.6390932373910752
175,0.335,0.01404511832833026,0.009955030881661794,6.547613143920898,6.547613143920898,0.5740871976860487,1.844806238476589
176,0.59,0.01068169255771277,0.007067668188828584,7.034030914306641,7.034030914306641,0.5791009350327179,2.0874767892230026
179,0.105,0.7233074670062918,0.049669606095140276,5.797346591949463,5.797346591949463,0.5738054712520199,1.646368533599919
178,0.38,0.03958060461869435,0.04210037735321307,6.718889236450195,6.718889236450195,0.5824325519588119,1.8940535768241058
180,0.015,0.2990120963520395,0.0954969075927698,5.37666130065918,5.37666130065918,0.5677386925659731,1.6150156175772319
177,0.9875,0.040708162461851834,0.00830323307946881,13.553382873535156,13.553382873535156,0.5928269909806887,2.4092811282615947
17,0.0725,0.4150648851609739,0.004897436336673949,4.962754249572754,4.962754249572754,0.5518539231899106,1.5607996644102742
185,0.0075,0.03957183856536419,0.06491581827092534,5.669265270233154,5.669265270233154,0.5739153382806303,1.6061136075930695
184,0.0175,0.10008268132333462,0.006748225488462092,5.04398250579834,5.04398250579834,0.5628471582019321,1.5203813062816034
181,0.055,0.213390101609127,0.017435359381335475,5.085115909576416,5.085115909576416,0.5614968082864251,1.5575221607972352
182,0.0175,0.18084881335242683,0.003177669065154284,4.654314994812012,4.654314994812012,0.5496465397498989,1.4937408579790634
183,0.405,0.09549304345800745,0.06333072060825963,6.9753642082214355,6.9753642082214355,0.5787305513157923,1.909322308295792
188,0.0575,0.17137683010352908,0.001267442425425638,4.882852554321289,4.882852554321289,0.5500035684088697,1.5408187450891202
187,0.8175,0.017951380012947035,0.015726059513042328,9.363624572753906,9.363624572753906,0.5897870147241523,2.263921357436673
186,0.745,0.10983974790399653,0.0585932414056951,8.494454383850098,8.494454383850098,0.583384466117797,2.171760088256862
195,0.165,0.02269800228092974,0.00613143593855949,5.436493396759033,5.436493396759033,0.5591528541991825,1.648022155338804
194,0.4575,0.16708507165871972,0.03735597438711936,7.932863235473633,7.932863235473633,0.5851991089401903,1.9825322473030167
189,0.32,0.01618891322512445,0.007251607772982988,6.922207832336426,6.922207832336426,0.5729950412072127,1.8460983572889287
198,0.025,0.9057294259754347,0.018733880199710434,5.224481105804443,5.224481105804443,0.5670676505044656,1.5554938664545706
192,0.0375,0.20464271922824512,0.0010093763733347403,4.668403148651123,4.668403148651123,0.5524338835549778,1.5059588052286057
196,0.8325,0.16596061729972714,0.0029433677434651693,11.88871955871582,11.88871955871582,0.5892334457850043,2.3272864824050745
199,0.085,0.362895951485969,0.054914649662994024,5.475323677062988,5.475323677062988,0.5735886981392571,1.6382700702645026
200,0.0325,0.01495322577247207,0.021477897675381562,4.829690933227539,4.829690933227539,0.5644994957624831,1.5261708974515462
201,0.0775,0.45303563564393096,0.021603546436222858,5.0241875648498535,5.0241875648498535,0.5641887004348716,1.5826326240855628
202,0.65,0.029641845977432316,0.05484839458637137,8.779300689697266,8.779300689697266,0.5855538860579825,2.1133081281586277
203,0.0275,0.018652197648464073,0.002199753973997063,4.714170455932617,4.714170455932617,0.5501751240485053,1.5069975629145236
18,0.0225,0.03382816217460393,0.007794271155716753,4.711572647094727,4.711572647094727,0.5507462020295628,1.4969756219778507
204,0.0625,0.02725786511461109,0.003259500662787592,5.000317096710205,5.000317096710205,0.5597250198330909,1.5590522085259493
205,0.775,0.03885132378355392,0.003157369101780589,8.438379287719727,8.438379287719727,0.5820178858925639,2.253046970918268
206,0.64,0.03676242078384052,0.046981446604775594,7.996328830718994,7.996328830718994,0.5831208709093546,2.1032451336599087
207,0.0025,0.06527635908189418,0.012134154856712237,4.776849269866943,4.776849269866943,0.5567681800072772,1.4951352772319222
209,0.1125,0.26794741108458525,0.00425886540731943,5.022319316864014,5.022319316864014,0.5580050896891533,1.5924585835195766
190,0.59,0.029561922066695022,0.05024260741821217,7.203357696533203,7.203357696533203,0.5830664600031109,2.0513778648862044
210,0.5675,0.19012460530993253,0.01744227016324712,10.232556343078613,10.232556343078613,0.588682575458998,2.092068533869818
20,0.2975,0.2254312099735182,0.029545426659769534,7.587209224700928,7.587209224700928,0.5761307274671541,1.8292489273569168
191,0.2575,0.03651573359567397,0.002861167682254644,6.300299167633057,6.300299167633057,0.5702230481993791,1.8064966572212586
211,0.035,0.2433223447686749,0.04836163642696503,5.233107089996338,5.233107089996338,0.5695787845559603,1.594933789537542
212,0.3875,0.012477127231344611,0.014215173048426562,6.661130905151367,6.661130905151367,0.5804119001317048,1.8891817559106743
213,0.46,0.1487937186979163,0.0014568017644973836,7.842418193817139,7.842418193817139,0.5810929624817444,2.0543317318243917
215,0.705,0.5674253252756034,0.0297463849839318,9.270291328430176,9.270291328430176,0.5885330479931973,2.195224013194679
216,0.5125,0.07374682532310427,0.026474526500041992,7.437182903289795,7.437182903289795,0.5805288896516908,1.998395506043054
193,0.8425,0.028947396175707452,0.004430467531588938,10.752358436584473,10.752358436584473,0.5864531455602522,2.3362930068630208
217,0.01,0.03747418855064393,0.05289952961704026,5.430418014526367,5.430418014526367,0.573163975376237,1.586755911123347
218,0.1425,0.869491218239075,0.004125548007137641,5.0472798347473145,5.0472798347473145,0.5526842248087523,1.6278761016418613
219,0.46,0.3018294568276341,0.001403123522675676,8.970738410949707,8.970738410949707,0.579188479152473,2.0391976494559967
220,0.0425,0.047145629593272065,0.004550935909206613,4.746708393096924,4.746708393096924,0.5530328625026117,1.5190375994520713
221,0.2775,0.02694298301822872,0.0556397329749916,6.571222305297852,6.571222305297852,0.5792051581047771,1.8323605251450772
223,0.0825,0.25405435837225143,0.07400713426778198,5.273441314697266,5.273441314697266,0.5739697106147531,1.6422375759896504
224,0.24,0.24375115525886734,0.054733202437465885,6.558589935302734,6.558589935302734,0.5778170059841597,1.7692708107495958
225,0.975,0.20221221830276728,0.0022534612478991847,16.91158676147461,16.91158676147461,0.591927199352503,2.431786767218288
226,0.215,0.028579201933382446,0.009111557892920013,5.553521156311035,5.553521156311035,0.5645218487359873,1.7175377369982097
227,0.015,0.013160394560127065,0.08230818943741623,5.246702194213867,5.246702194213867,0.567381905834946,1.6220848841764905
228,0.0125,0.014151028792065196,0.003921410902201674,4.768087863922119,4.768087863922119,0.5582579605463422,1.4960386596200876
229,0.0225,0.4454447221391184,0.013357584001193922,4.77515172958374,4.77515172958374,0.5581270728595846,1.5194682079376107
1,0.03,0.10320852554823264,0.0032278905243410937,4.788660049438477,4.788660049438477,0.5555061843359371,1.5181973898697358
230,0.12,0.023978361510298432,0.04935537088470204,5.446218013763428,5.446218013763428,0.5750883089807199,1.6567753114665227
231,0.0125,0.02234250062922902,0.008547968926271729,4.844695091247559,4.844695091247559,0.5599238190082023,1.510686648248475
232,0.8075,0.9837425719415939,0.0021647317373805954,11.60032844543457,11.60032844543457,0.5882848717271894,2.351368021008333
197,0.5375,0.06901851252108016,0.0019493029688572015,7.824271202087402,7.824271202087402,0.5755025711477487,2.074144185119694
233,0.0675,0.3074678701948016,0.0038227510737118085,5.1869378089904785,5.1869378089904785,0.557720531694891,1.5781232372076017
234,0.525,0.07889390431777554,0.023288929651849293,7.233403205871582,7.233403205871582,0.5830933648883284,2.017289929779891
235,0.2125,0.5764229815228131,0.006100205829191833,6.179915428161621,6.179915428161621,0.567933257627541,1.7313812129542359
236,0.04,0.13992061866547806,0.0043190071997301575,4.792933940887451,4.792933940887451,0.5569634716879532,1.5150544785451552
237,0.0325,0.20935881532763437,0.0039211273599637905,4.7024407386779785,4.7024407386779785,0.5506720280622195,1.5138851012117436
238,0.07,0.38531298537813335,0.07120273015151364,5.23090934753418,5.23090934753418,0.5711224149814432,1.6308576412474187
239,0.095,0.48446326563688713,0.013422720995245717,5.085344314575195,5.085344314575195,0.5633435582966153,1.5955502442219573
